text;label;prediction
Edan!;1;0.84
Wah, keren pisan!;1;0.66
Kaga ngarti dah gua.;0;0.37
Kaga ngarti dah gua.;0;0.44
Buntung banget.;0;0.06
Mantap jiwa!;1;0.5
Seriusan lu begitu?;0;0.47
Biasa aje dah.;0;0.46
Mantap jiwa!;1;0.77
Epic!;1;0.99
Epic!;1;0.53
Kaga seru blas.;0;0.04
Asik banget!;1;0.93
Malesin banget.;0;0.13
Wah, keren pisan!;1;0.73
Bagus banget nih!;1;0.79
Kaga seru blas.;0;0.44
Keren abis!;1;0.74
Kaga seru blas.;0;0.35
Mantap jiwa!;1;0.87
Kaga ngarti dah gua.;0;0.46
Maksudnye ape sih?;0;0.22
Epic!;1;0.93
Asik banget!;1;0.77
Keren abis!;1;0.87
Malesin banget.;0;0.27
Biasa aje dah.;0;0.19
Keren abis!;1;0.86
Salut gua ame lu!;1;0.94
Luar biasa!;1;0.79
Luar biasa!;1;0.77
Kaga ngarti dah gua.;0;0.07
Luar biasa!;1;0.8
Luar biasa!;1;0.61
Mantap jiwa!;1;0.59
Garing banget!;0;0.12
Kaga seru blas.;0;0.33
Kurang jelas nih.;0;0.28
Ape sih? Kaga jelas banget!;0;0.2
Asik banget!;1;0.78
Kaga ngarti dah gua.;0;0.01
Bagus banget nih!;1;0.57
Garing banget!;0;0.46
Seriusan lu begitu?;0;0.4
Kaga seru blas.;0;0.06
Seriusan lu begitu?;0;0.44
Bagus banget nih!;1;0.85
Salut gua ame lu!;1;0.84
Edan!;1;0.91
Bagus banget nih!;1;0.74
Kurang jelas nih.;0;0.3
Malesin banget.;0;0.49
Kaga ngarti dah gua.;0;0.39
Bagus banget nih!;1;0.92
Seriusan lu begitu?;0;0.17
Luar biasa!;1;0.88
Maksudnye ape sih?;0;0.43
Luar biasa!;1;0.54
Salut gua ame lu!;1;0.62
Hebat lu!;1;0.72
Keren abis!;1;0.61
Wah, keren pisan!;1;0.94
Malesin banget.;0;0.11
Salut gua ame lu!;1;0.91
Bagus banget nih!;1;0.99
Keren abis!;1;0.86
Hebat lu!;1;0.65
Kaga seru blas.;0;0.41
Biasa aje dah.;0;0.4
Garing banget!;0;0.3
Keren abis!;1;0.73
Mantap jiwa!;1;0.72
Salut gua ame lu!;1;0.89
Ape sih? Kaga jelas banget!;0;0.3
Hebat lu!;1;0.76
Mantap jiwa!;1;0.64
Kurang jelas nih.;0;0.49
Hebat lu!;1;0.67
Wah, keren pisan!;1;0.59
Keren abis!;1;0.93
Asik banget!;1;0.71
Ape sih? Kaga jelas banget!;0;0.21
Wah, keren pisan!;1;0.56
Wah, keren pisan!;1;0.97
Hebat lu!;1;0.61
Keren abis!;1;0.82
Malesin banget.;0;0.42
Ape sih? Kaga jelas banget!;0;0.39
Edan!;1;0.93
Hebat lu!;1;0.74
Kaga ngarti dah gua.;0;0.45
Epic!;1;0.52
Mantap jiwa!;1;1.0
Edan!;1;0.83
Biasa aje dah.;0;0.29
Kaga ngarti dah gua.;0;0.17
Luar biasa!;1;0.65
Malesin banget.;0;0.31
Bagus banget nih!;1;1.0
Bagus banget nih!;1;0.78
Epic!;1;0.97
Salut gua ame lu!;1;0.97
Bagus banget nih!;1;0.83
Garing banget!;0;0.12
Salut gua ame lu!;1;0.86
Buntung banget.;0;0.05
Ape sih? Kaga jelas banget!;0;0.1
Wah, keren pisan!;1;0.79
Buntung banget.;0;0.47
Luar biasa!;1;0.87
Ape sih? Kaga jelas banget!;0;0.06
Epic!;1;0.9
Garing banget!;0;0.37
Keren abis!;1;0.61
Edan!;1;0.88
Edan!;1;0.94
Buntung banget.;0;0.5
Hebat lu!;1;0.8
Salut gua ame lu!;1;0.84
Seriusan lu begitu?;0;0.11
Kaga seru blas.;0;0.3
Keren abis!;1;0.84
Garing banget!;0;0.41
Kaga ngarti dah gua.;0;0.11
Luar biasa!;1;0.89
Malesin banget.;0;0.38
Garing banget!;0;0.14
Buntung banget.;0;0.2
Edan!;1;0.96
Maksudnye ape sih?;0;0.33
Hebat lu!;1;0.85
Wah, keren pisan!;1;0.67
Biasa aje dah.;0;0.18
Buntung banget.;0;0.23
Kaga ngarti dah gua.;0;0.47
Hebat lu!;1;0.54
Wah, keren pisan!;1;0.62
Kurang jelas nih.;0;0.13
Garing banget!;0;0.34
Wah, keren pisan!;1;0.86
Seriusan lu begitu?;0;0.3
Mantap jiwa!;1;0.6
Ape sih? Kaga jelas banget!;0;0.29
Ape sih? Kaga jelas banget!;0;0.14
Edan!;1;0.58
Kaga ngarti dah gua.;0;0.46
Epic!;1;0.66
Buntung banget.;0;0.17
Maksudnye ape sih?;0;0.04
Keren abis!;1;0.89
Buntung banget.;0;0.35
Buntung banget.;0;0.1
Kaga seru blas.;0;0.28
Kaga seru blas.;0;0.16
Asik banget!;1;0.89
Mantap jiwa!;1;0.73
Garing banget!;0;0.42
Hebat lu!;1;0.68
Seriusan lu begitu?;0;0.09
Maksudnye ape sih?;0;0.02
Malesin banget.;0;0.25
Luar biasa!;1;0.68
Epic!;1;0.83
Kaga ngarti dah gua.;0;0.07
Luar biasa!;1;0.51
Epic!;1;0.66
Garing banget!;0;0.43
Biasa aje dah.;0;0.02
Kurang jelas nih.;0;0.1
Kurang jelas nih.;0;0.48
Kaga seru blas.;0;0.36
Biasa aje dah.;0;0.08
Luar biasa!;1;0.8
Keren abis!;1;0.89
Ape sih? Kaga jelas banget!;0;0.13
Kurang jelas nih.;0;0.11
Mantap jiwa!;1;0.57
Bagus banget nih!;1;0.73
Biasa aje dah.;0;0.12
Kaga seru blas.;0;0.48
Edan!;1;0.81
Luar biasa!;1;0.98
Ape sih? Kaga jelas banget!;0;0.46
Buntung banget.;0;0.06
Edan!;1;0.93
Kurang jelas nih.;0;0.25
Edan!;1;0.73
Asik banget!;1;0.88
Keren abis!;1;0.71
Biasa aje dah.;0;0.24
Malesin banget.;0;0.31
Garing banget!;0;0.43
Hebat lu!;1;0.84
Epic!;1;0.98
Epic!;1;0.78
Asik banget!;1;0.85
Malesin banget.;0;0.08
Biasa aje dah.;0;0.08
Keren abis!;1;0.69
Kaga ngarti dah gua.;0;0.35
Seriusan lu begitu?;0;0.24
Biasa aje dah.;0;0.17
Kaga seru blas.;0;0.3
Ape sih? Kaga jelas banget!;0;0.29
Kaga seru blas.;0;0.16
Seriusan lu begitu?;0;0.33
Wah, keren pisan!;1;0.88
Mantap jiwa!;1;0.79
Biasa aje dah.;0;0.3
Mantap jiwa!;1;0.72
Buntung banget.;0;0.27
Maksudnye ape sih?;0;0.03
Ape sih? Kaga jelas banget!;0;0.12
Malesin banget.;0;0.06
Ape sih? Kaga jelas banget!;0;0.36
Hebat lu!;1;0.97
Kurang jelas nih.;0;0.42
Malesin banget.;0;0.2
Buntung banget.;0;0.32
Biasa aje dah.;0;0.03
Edan!;1;0.59
Kaga seru blas.;0;0.33
Biasa aje dah.;0;0.2
Kaga seru blas.;0;0.26
Garing banget!;0;0.37
Salut gua ame lu!;1;0.74
Kaga ngarti dah gua.;0;0.19
Bagus banget nih!;1;0.7
Bagus banget nih!;1;0.58
Mantap jiwa!;1;0.78
Ape sih? Kaga jelas banget!;0;0.25
Maksudnye ape sih?;0;0.31
Asik banget!;1;0.81
Salut gua ame lu!;1;0.76
Buntung banget.;0;0.19
Bagus banget nih!;1;0.51
Epic!;1;0.6
Luar biasa!;1;0.61
Salut gua ame lu!;1;0.93
Kurang jelas nih.;0;0.39
Edan!;1;0.67
Asik banget!;1;0.72
Hebat lu!;1;0.55
Mantap jiwa!;1;0.77
Wah, keren pisan!;1;0.66
Ape sih? Kaga jelas banget!;0;0.19
Luar biasa!;1;0.63
Maksudnye ape sih?;0;0.41
Salut gua ame lu!;1;0.82
Kurang jelas nih.;0;0.01
Ape sih? Kaga jelas banget!;0;0.12
Kurang jelas nih.;0;0.43
Wah, keren pisan!;1;0.98
Keren abis!;1;0.87
Salut gua ame lu!;1;0.58
Maksudnye ape sih?;0;0.29
Malesin banget.;0;0.38
Asik banget!;1;0.52
Maksudnye ape sih?;0;0.29
Ape sih? Kaga jelas banget!;0;0.43
Maksudnye ape sih?;0;0.36
Maksudnye ape sih?;0;0.09
Bagus banget nih!;1;0.8
Ape sih? Kaga jelas banget!;0;0.07
Kaga ngarti dah gua.;0;0.31
Seriusan lu begitu?;0;0.37
Luar biasa!;1;0.83
Keren abis!;1;0.58
Biasa aje dah.;0;0.47
Keren abis!;1;0.89
Keren abis!;1;0.9
Wah, keren pisan!;1;0.67
Wah, keren pisan!;1;0.8
Seriusan lu begitu?;0;0.14
Luar biasa!;1;0.72
Seriusan lu begitu?;0;0.03
Edan!;1;0.6
Biasa aje dah.;0;0.13
Garing banget!;0;0.5
Kurang jelas nih.;0;0.38
Garing banget!;0;0.39
Keren abis!;1;0.56
Kaga seru blas.;0;0.01
Edan!;1;0.7
Biasa aje dah.;0;0.34
Kurang jelas nih.;0;0.18
Asik banget!;1;0.72
Epic!;1;0.76
Kaga ngarti dah gua.;0;0.22
Garing banget!;0;0.42
Salut gua ame lu!;1;0.63
Hebat lu!;1;0.57
Wah, keren pisan!;1;0.81
Salut gua ame lu!;1;0.51
Asik banget!;1;0.7
Maksudnye ape sih?;0;0.28
Seriusan lu begitu?;0;0.3
Asik banget!;1;0.84
Asik banget!;1;0.69
Keren abis!;1;0.93
Seriusan lu begitu?;0;0.4
Edan!;1;0.87
Keren abis!;1;0.97
Wah, keren pisan!;1;0.51
Kaga seru blas.;0;0.02
Kurang jelas nih.;0;0.47
Kurang jelas nih.;0;0.12
Kurang jelas nih.;0;0.07
Edan!;1;0.82
Asik banget!;1;0.7
Kurang jelas nih.;0;0.12
Seriusan lu begitu?;0;0.06
Malesin banget.;0;0.42
Asik banget!;1;0.85
Seriusan lu begitu?;0;0.47
Salut gua ame lu!;1;0.53
Asik banget!;1;0.94
Garing banget!;0;0.49
Luar biasa!;1;0.88
Epic!;1;0.7
Bagus banget nih!;1;0.8
Asik banget!;1;0.88
Salut gua ame lu!;1;0.65
Bagus banget nih!;1;0.76
Luar biasa!;1;0.76
Hebat lu!;1;0.76
Kurang jelas nih.;0;0.41
Seriusan lu begitu?;0;0.21
Bagus banget nih!;1;0.67
Salut gua ame lu!;1;0.87
Luar biasa!;1;0.88
Kaga ngarti dah gua.;0;0.26
Kurang jelas nih.;0;0.09
Mantap jiwa!;1;0.7
Seriusan lu begitu?;0;0.36
Asik banget!;1;0.86
Edan!;1;0.76
Keren abis!;1;0.93
Bagus banget nih!;1;0.51
Malesin banget.;0;0.48
Bagus banget nih!;1;0.93
Buntung banget.;0;0.33
Edan!;1;0.75
Cakep bener!;1;0.88
Bete abis dah.;0;0.22
Nyongkelin ati.;0;0.65
Nggak nyangka gua.;0;0.41
Asli dah, parah!;0;0.78
Udah sonoan dah.;0;0.33
Lagian juga...;0;0.59
Biarin aje udah.;0;0.15
Jangan gitu napa.;0;0.47
Emang dasar...;0;0.81
Gua kaga demen.;0;0.09
Ribet amat dah.;0;0.36
Serah lu dah.;0;0.29
Bikin pusing aje.;0;0.52
Nggak enak banget.;0;0.18
Wah, ide bagus nih!;1;0.71
Mendingan juga...;0;0.68
Jangan macem-macem.;0;0.44
Biasa aje kaliii.;0;0.31
Nggak penting juga.;0;0.12
Wah, mantap betul!;1;0.91
Bikin kesel aje.;0;0.57
Udah kelar belom?;0;0.25
Jangan ngaco dah.;0;0.49
Emang begitu dah.;0;0.73
Gua lagi males.;0;0.05
Susah amat sih.;0;0.39
Terserah deh ah.;0;0.21
Bikin bingung aje.;0;0.55
Nggak seru blas.;0;0.11
Wah, keren abis!;1;0.85
Bikin naik darah.;0;0.61
Cepetan dikit napa.;0;0.28
Jangan sok iye dah.;0;0.51
Emang udah tabiatnya.;0;0.79
Gua lagi nggak mood.;0;0.08
Ribet banget urusannya.;0;0.33
Udah biarin aja sono.;0;0.17
Bikin gondok aje.;0;0.59
Nggak guna juga.;0;0.14
Wah, hebat bener!;1;0.93
Bikin emosi dah.;0;0.63
Lama bener sih.;0;0.23
Jangan banyak cingcong.;0;0.46
Emang dari dulu begitu.;0;0.75
Gua lagi nggak pengen.;0;0.06
Susah payah dah.;0;0.41
Udah lupain aja kaliii.;0;0.26
Bikin mumet aje.;0;0.53
Nggak mutu juga.;0;0.19
Wah, luar biasa sekali!;1;0.96
Bikin sewot dah.;0;0.67
Buruan atuh ah.;0;0.29
Jangan kebanyakan gaya.;0;0.54
Emang udah wataknya.;0;0.71
Gua lagi nggak nafsu.;0;0.07
Repot amat dah ah.;0;0.38
Udah nggak usah dipikirin.;0;0.22
Bikin bete aje nih.;0;0.58
Nggak ada faedahnya.;0;0.13
Wah, edan tenan!;1;0.98
Bikin naik pitam.;0;0.69
Gercep napa gercep.;0;0.27
Jangan belagu dah lu.;0;0.56
Emang udah nasibnya.;0;0.77
Gua lagi nggak selera.;0;0.09
Ruwet banget dah ah.;0;0.35
Udah nggak penting juga sih.;0;0.24
Bikin jengkel aje.;0;0.62
Nggak ngaruh juga.;0;0.16
Wah, sangar bener!;1;0.95
Bikin panas ati.;0;0.72
Kilat kek napa.;0;0.31
Jangan so jagoan dah.;0;0.48
Emang udah kodratnya.;0;0.83
Gua lagi nggak minat.;0;0.04
Sempit banget dah ah.;0;0.43
Udah nggak usah dibahas lagi.;0;0.28
Bikin sebel aje gua.;0;0.66
Nggak worth it juga.;0;0.17
Wah, top markotop!;1;0.92
Bikin sakit kepala.;0;0.75
Sat set sat set dong.;0;0.25
Jangan senga dah lu.;0;0.52
Emang udah takdirnya.;0;0.86
Gua lagi nggak fokus.;0;0.03
Sukar amat dah ah.;0;0.39
Udah nggak usah diungkit lagi.;0;0.21
Bikin gemes aje nih.;0;0.69
Nggak ngefek juga.;0;0.12
Wah, yahud bener!;1;0.97
Bikin mules dah.;0;0.71
Gas pol napa gas pol.;0;0.33
Jangan nyolot dah lu.;0;0.45
Emang udah suratan.;0;0.81
Gua lagi nggak konsen.;0;0.05
Payah banget dah ah.;0;0.41
Udah nggak usah diperpanjang.;0;0.23
Bikin kesel banget gua.;0;0.73
Nggak mempan juga.;0;0.19
Wah, zuper sekali!;1;0.99
Bikin mual dah.;0;0.78
Ogah ah, males.;0;0.11
Jangan ngedumel dah lu.;0;0.55
Emang udah ketentuan.;0;0.84
Gua lagi nggak enak ati.;0;0.07
Berabe banget dah ah.;0;0.37
Udah nggak usah diributin.;0;0.26
Bikin bete banget nih.;0;0.76
Nggak nggeh juga.;0;0.15
Wah, ampun dah kerennya!;1;0.94
Bikin eneg dah.;0;0.74
Nggak sudi gua.;0;0.18
Jangan nyinyir dah lu.;0;0.49
Emang udah garisnya.;0;0.87
Gua lagi nggak sreg.;0;0.04
Pusing tujuh keliling dah ah.;0;0.44
Udah nggak usah dipeduliin.;0;0.29
Bikin gondok banget gua.;0;0.79
Nggak ngeh juga.;0;0.13
Wah, cetar membahana!;1;0.91
Bikin meriang dah.;0;0.77
Nggak mau ah, repot.;0;0.22
Jangan ngomel dah lu.;0;0.51
Emang udah ajalinya.;0;0.82
Gua lagi nggak nyaman.;0;0.06
Kacau banget dah ah.;0;0.36
Udah nggak usah diomongin lagi.;0;0.25
Bikin sewot banget nih.;0;0.81
Nggak mudeng juga.;0;0.17
Wah, daebak pisan!;1;0.96
Bikin pening dah.;0;0.73
Nggak ikut-ikutan ah.;0;0.28
Jangan nyindir dah lu.;0;0.47
Emang udah qadarnya.;0;0.85
Gua lagi nggak fokus pikiran.;0;0.08
Runyam banget dah ah.;0;0.42
Udah nggak usah diinget-inget.;0;0.31
Bikin emosi banget gua.;0;0.83
Nggak ngerti-ngerti juga.;0;0.14
Wah, fantastic sekali!;1;0.98
Bikin sakit perut dah.;0;0.79
Nggak peduli gua.;0;0.19
Jangan ngegas dah lu.;0;0.53
Emang udah suratan takdir.;0;0.89
Gua lagi nggak enak badan.;0;0.03
Ribet kayak benang kusut dah ah.;0;0.39
Udah nggak usah dibesar-besarin.;0;0.27
Bikin naik darah banget nih.;0;0.86
Nggak ngeh blas.;0;0.16
Wah, georgeous bener!;1;0.93
Bikin pegel linu dah.;0;0.75
Nggak urusan gua.;0;0.24
Jangan ngeles dah lu.;0;0.44
Emang udah ketentuan Illahi.;0;0.91
Gua lagi nggak enak perasaan.;0;0.09
Sukar kayak nyari jarum di jerami dah ah.;0;0.45
Udah nggak usah diambil pusing.;0;0.33
Bikin panas ati banget gua.;0;0.88
Nggak ngerti sama sekali.;0;0.11
Wah, istimewa sekali!;1;0.99
Bikin nggak napsu makan dah.;0;0.72
Nggak minat blas.;0;0.21
Jangan ngeremehin dah lu.;0;0.57
Emang udah kehendak-Nya.;0;0.94
Gua lagi nggak bersemangat.;0;0.06
Serba salah dah ah.;0;0.38
Udah nggak usah dipikirin dalem-dalem.;0;0.35
Bikin sebel banget gua nih.;0;0.91
Nggak ngerti-ngerti amat.;0;0.18
Wah, joss gandoss!;1;0.95
Bikin lemes dah.;0;0.76
Nggak demen juga gua.;0;0.26
Jangan ngeritik mulu dah lu.;0;0.48
Emang udah suratan alam.;0;0.83
Gua lagi nggak ada gairah.;0;0.04
Semrawut banget dah ah.;0;0.43
Udah nggak usah dibahas tuntas.;0;0.32
Bikin gemes banget gua nih.;0;0.93
Nggak ngerti-ngerti pisan.;0;0.13
Wah, kiyowo banget!;1;0.92
Bikin ngantuk dah.;0;0.71
Nggak suka gua.;0;0.29
Jangan nyalahin orang mulu dah lu.;0;0.52
Emang udah begitulah adanya.;0;0.88
Gua lagi nggak antusias.;0;0.07
Sinting banget dah ah.;0;0.46
Udah nggak usah diungkit-ungkit lagi.;0;0.36
Bikin gondok banget gua nih.;0;0.96
Nggak ngerti-ngerti pisan euy.;0;0.15
Wah, maknyuss tenan!;1;0.97
Bikin mules perut dah.;0;0.78
Nggak mau ikutan dah gua.;0;0.23
Jangan ngejudge dah lu.;0;0.55
Emang udah demikian keadaannya.;0;0.92
Gua lagi nggak bergairah.;0;0.05
Susaaaah banget dah ah.;0;0.41
Udah nggak usah diperpanjang lebar.;0;0.34
Bikin sewot banget gua nih.;0;0.98
Nggak ngerti-ngerti babar blas.;0;0.12
Wah, perfecto!;1;0.99
Bikin nggak enak badan dah.;0;0.74
Nggak doyan gua.;0;0.27
Jangan nuduh sembarangan dah lu.;0;0.49
Emang udah begini dari sananya.;0;0.85
Gua lagi nggak berenergi.;0;0.03
Aneh banget dah ah.;0;0.44
Udah nggak usah diambil hati.;0;0.37
Bikin emosi banget gua nih.;0;0.95
Nggak ngerti-ngerti pisan-pisan.;0;0.19
Wah, qumaseh!;1;0.91
Bikin pusing palak dah.;0;0.77
Nggak tertarik gua.;0;0.31
Jangan ngerumpi dah lu.;0;0.51
Emang udah ciri khasnya.;0;0.87
Gua lagi nggak semangat idup.;0;0.09
Berantakan banget dah ah.;0;0.42
Udah nggak usah dipikirin mendalam.;0;0.39
Bikin naik pitam banget gua nih.;0;0.97
Nggak ngerti-ngerti sedikiiiit pun.;0;0.16
Wah, superb sekali!;1;0.94
Bikin nggak karuan dah.;0;0.73
Nggak sudi dah gua.;0;0.25
Jangan nyolot-nyolot dah lu.;0;0.53
Emang udah watak dasarnya.;0;0.93
Gua lagi nggak punya daya.;0;0.04
Gaduh banget dah ah.;0;0.45
Udah nggak usah dibahas detail.;0;0.38
Bikin kesel banget gua nih.;0;0.99
Nggak ngerti-ngerti kayak patung.;0;0.11
Wah, ulala sekali!;1;0.96
Bikin nggak fokus dah.;0;0.79
Nggak pengen gua.;0;0.22
Jangan ngatur-ngatur dah lu.;0;0.46
Emang udah bawaannya dari lahir.;0;0.89
Gua lagi nggak ada tenaga.;0;0.07
Gelisah banget dah ah.;0;0.43
Udah nggak usah diomongin terus.;0;0.35
Bikin bete banget gua nih.;0;0.92
Nggak ngerti-ngerti kayak kebo dicocok idung.;0;0.18
Wah, vamos!;1;0.98
Bikin nggak enak ati dah.;0;0.75
Nggak selera gua.;0;0.28
Jangan ngebentak-bentak dah lu.;0;0.54
Emang udah takdir ilahi.;0;0.95
Gua lagi nggak ada gairah hidup.;0;0.03
Bingung banget dah ah.;0;0.41
Udah nggak usah dipikirin lagi nanti.;0;0.37
Bikin gondok banget gua nih.;0;0.94
Nggak ngerti-ngerti kayak tunggul kayu.;0;0.13
Wah, wih keren!;1;0.91
Bikin nggak mood dah.;0;0.71
Nggak nafsu gua.;0;0.31
Jangan ngedikte dah lu.;0;0.48
Emang udah suratan dari sono.;0;0.86
Gua lagi nggak ada semangat juang.;0;0.05
Rungsing banget dah ah.;0;0.47
Udah nggak usah dibahas panjang lebar.;0;0.33
Bikin sewot banget gua nih.;0;0.96
Nggak ngerti-ngerti kayak robot.;0;0.15
Ilok!;0;0.62
Setdah!;0;0.78
Apa bae dah.;0;0.35
Bagenin aje.;0;0.29
Nyok!;1;0.85
Aye mah ogah.;0;0.17
Encing!;0;0.51
Encang!;0;0.48
Nyai!;0;0.69
Bang jampang!;1;0.91
Nggak ngarti blass.;0;0.11
Udah sonoan!;0;0.33
Biarin dah ah.;0;0.21
Jangan kek gitu!;0;0.45
Dasar lu emang!;0;0.77
Gua nggak doyan.;0;0.14
Ribet dah urusan.;0;0.39
Serah lu pada dah.;0;0.26
Bikin puyeng aje.;0;0.58
Nggak enak nih.;0;0.19
Wah, cakep bener dah!;1;0.89
Mendingan juga kagak.;0;0.63
Jangan macem-macem lu!;0;0.41
Biasa aje kaliii ah.;0;0.34
