text;label;prediction
Nggak penting juga sih.;0;0.12
Wah, mantap jiwa raga!;1;0.93
Bikin kesel banget!;0;0.61
Udah kelar apa belom nih?;0;0.28
Jangan ngaco ngidul lu!;0;0.52
Emang udah dari sononye.;0;0.79
Gua lagi nggak mood banget.;0;0.08
Susah amat dah idup.;0;0.42
Terserah dah ah elah.;0;0.23
Bikin bingung pala gua.;0;0.55
Nggak seru babar blas.;0;0.16
Wah, keren abis markotop!;1;0.87
Bikin naik darah tinggi!;0;0.65
Cepetan dikit kek napa sih.;0;0.31
Jangan sok alim dah lu!;0;0.59
Emang udah tabiat turun temurun.;0;0.81
Gua lagi nggak pengen makan.;0;0.11
Ribet banget kayak benang kusut.;0;0.36
Udah biarin aja dianya mah.;0;0.19
Bikin gondok ulu ati.;0;0.63
Nggak guna juga percuma.;0;0.15
Wah, hebat bener dah ah!;1;0.95
Bikin emosi jiwa raga!;0;0.68
Lama bener kayak keong!;0;0.25
Jangan banyak omong kosong!;0;0.49
Emang dari jaman jebot begitu.;0;0.75
Gua lagi nggak nafsu makan juga.;0;0.09
Susah payah kayak narik gerobak.;0;0.44
Udah lupain aja kagak penting.;0;0.29
Bikin mumet tujuh keliling.;0;0.59
Nggak mutu kayak comberan.;0;0.17
Wah, luar biasa sekali pemandangannya!;1;0.97
Bikin sewot setengah mati!;0;0.71
Buruan atuh geura!;0;0.33
Jangan kebanyakan gaya lu tong!;0;0.56
Emang udah watak dari orok.;0;0.73
Gua lagi nggak selera ngapa-ngapain.;0;0.12
Repot amat kayak ngurusin bayi.;0;0.41
Udah nggak usah dipikirin dalem-dalem.;0;0.26
Bikin bete nggak ketulungan.;0;0.66
Nggak ada faedahnya sama sekali.;0;0.18
Wah, edan tenan koyo ngene!;1;0.99
Bikin naik pitam ubun-ubun!;0;0.74
Gercep kek kilat napa sih!;0;0.35
Jangan belagu kayak jagoan kampung!;0;0.61
Emang udah nasib badan kayak gini.;0;0.77
Gua lagi nggak minat blas dah.;0;0.13
Ruwet banget kayak tali kolor putus.;0;0.38
Udah nggak penting juga kagak ngaruh.;0;0.31
Bikin jengkel nggak abis-abis.;0;0.69
Nggak ngaruh sama sekali percuma.;0;0.21
Wah, sangar bener dah kayak macan!;1;0.96
Bikin panas ati ubun-ubun!;0;0.72
Kilat kek petir napa gerak lu!;0;0.37
Jangan so jagoan kesorean dah lu!;0;0.54
Emang udah kodrat ilahi kayak gini.;0;0.83
Gua lagi nggak konsen pikiran nih.;0;0.16
Sempit banget kayak kandang ayam.;0;0.46
Udah nggak usah dibahas lagi kagak penting.;0;0.33
Bikin sebel nggak karuan dah gua.;0;0.72
Nggak worth it kayak beli kucing dalam karung.;0;0.22
Wah, top markotop dah pokoknya!;1;0.94
Bikin sakit kepala tujuh turunan!;0;0.76
Sat set wat wet dong gerak lu!;0;0.39
Jangan senga kayak anak baru gede!;0;0.58
Emang udah takdir dari sono kala ya.;0;0.86
Gua lagi nggak fokus kayak nonton sinetron.;0;0.19
Sukar amat kayak nyari kutu di kasur.;0;0.49
Udah nggak usah diungkit-ungkit lagi bikin sakit ati.;0;0.35
Bikin gemes pengen nyubit pipi!;0;0.75
Nggak ngefek kayak dikasih aer kobokan.;0;0.24
Wah, yahud bener dah ini mah!;1;0.98
Bikin mules perut kayak makan sambel setan!;0;0.78
Ogah ah males banget kayak disuruh nyuci piring segudang.;0;0.27
Jangan ngedumel kayak nenek-nenek kurang belaian!;0;0.62
Emang udah ketentuan dari Yang Maha Kuasa kayak gini.;0;0.89
Gua lagi nggak enak ati kayak abis dimarahin emak.;0;0.21
Berabe banget kayak ngurusin anak ayam ilang induknya.;0;0.43
Udah nggak usah diributin lagi bikin tambah runyam.;0;0.38
Bikin kesel banget pengen nonjok tembok!;0;0.79
Nggak mempan kayak diomongin sama tembok budeg.;0;0.23
Wah, zuper sekali dah pokoknya mah ini!;1;0.99
Bikin mual kayak nyium bau sampah seminggu!;0;0.81
Nggak sudi gua kayak disuruh makan jengkol mentah sebakul!;0;0.31
Jangan nyinyir kayak ibu-ibu arisan lagi ngerumpi!;0;0.65
Emang udah garis tangan kayak gini mau diapain lagi coba?;0;0.91
Gua lagi nggak sreg kayak pake baju kekecilan pas lebaran.;0;0.25
Repot amat kayak ngurusin proyek mangkrak seabad!;0;0.47
Udah nggak usah dipeduliin lagi bikin tambah sakit jiwa.;0;0.41
Bikin bete banget pengen gigit aspal!;0;0.83
Nggak nggeh kayak dikasih teka-teki silang bahasa alien!;0;0.28
Wah, ampun dah kerennya kebangetan!;1;0.97
Bikin eneg kayak minum jamu pahit segalon sendirian!;0;0.85
apa bae lu begitu dah;0;0.10
gausah banyak laga dah;0;0.14
walah salut bener gue sama lu;1;0.5992106
cerah bener nih hari dah;1;0.66
beneran enak bener nih lauk buset;1;0.51
bangke bener lu;1;0.61
emang brengsek lu buset;0;0.35
cerah bener nih hari;1;0.6
Ilok!;0;0.62
Setdah!;0;0.78
Apa bae dah.;0;0.35
Bagenin aje.;0;0.29
Nyok!;1;0.85
Aye mah ogah.;0;0.17
Encing!;0;0.51
Encang!;0;0.48
Nyai!;0;0.69
Bang jampang!;1;0.91
Nggak ngarti blass.;0;0.11
Udah sonoan!;0;0.33
Biarin dah ah.;0;0.21
Jangan kek gitu!;0;0.45
Dasar lu emang!;0;0.77
Gua nggak doyan.;0;0.14
Ribet dah urusan.;0;0.39
Serah lu pada dah.;0;0.26
Bikin puyeng aje.;0;0.58
Nggak enak nih.;0;0.19
Wah, cakep bener dah!;1;0.89
Mendingan juga kagak.;0;0.63
Jangan macem-macem lu!;0;0.41
Biasa aje kaliii ah.;0;0.34
Nggak penting juga sih.;0;0.12
Wah, mantap jiwa raga!;1;0.93
Bikin kesel banget!;0;0.61
Udah kelar apa belom nih?;0;0.28
Jangan ngaco ngidul lu!;0;0.52
Emang udah dari sononye.;0;0.79
Gua lagi nggak mood banget.;0;0.08
Susah amat dah idup.;0;0.42
Terserah dah ah elah.;0;0.23
Bikin bingung pala gua.;0;0.55
Nggak seru babar blas.;0;0.16
Wah, keren abis markotop!;1;0.87
Bikin naik darah tinggi!;0;0.65
Cepetan dikit kek napa sih.;0;0.31
Jangan sok alim dah lu!;0;0.59
Emang udah tabiat turun temurun.;0;0.81
Gua lagi nggak pengen makan.;0;0.11
Ribet banget kayak benang kusut.;0;0.36
Udah biarin aja dianya mah.;0;0.19
Bikin gondok ulu ati.;0;0.63
Nggak guna juga percuma.;0;0.15
Wah, hebat bener dah ah!;1;0.95
Bikin emosi jiwa raga!;0;0.68
Lama bener kayak keong!;0;0.25
Jangan banyak omong kosong!;0;0.49
Emang dari jaman jebot begitu.;0;0.75
Gua lagi nggak nafsu makan juga.;0;0.09
Susah payah kayak narik gerobak.;0;0.44
Udah lupain aja kagak penting.;0;0.29
Bikin mumet tujuh keliling.;0;0.59
Nggak mutu kayak comberan.;0;0.17
Wah, luar biasa sekali pemandangannya!;1;0.97
Bikin sewot setengah mati!;0;0.71
Buruan atuh geura!;0;0.33
Jangan kebanyakan gaya lu tong!;0;0.56
Emang udah watak dari orok.;0;0.73
Gua lagi nggak selera ngapa-ngapain.;0;0.12
Repot amat kayak ngurusin bayi.;0;0.41
Udah nggak usah dipikirin dalem-dalem.;0;0.26
Bikin bete nggak ketulungan.;0;0.66
Nggak ada faedahnya sama sekali.;0;0.18
Wah, edan tenan koyo ngene!;1;0.99
Bikin naik pitam ubun-ubun!;0;0.74
Gercep kek kilat napa sih!;0;0.35
Jangan belagu kayak jagoan kampung!;0;0.61
Emang udah nasib badan kayak gini.;0;0.77
Gua lagi nggak minat blas dah.;0;0.13
Ruwet banget kayak tali kolor putus.;0;0.38
Udah nggak penting juga kagak ngaruh.;0;0.31
Bikin jengkel nggak abis-abis.;0;0.69
Nggak ngaruh sama sekali percuma.;0;0.21
Wah, sangar bener dah kayak macan!;1;0.96
Bikin panas ati ubun-ubun!;0;0.72
Kilat kek petir napa gerak lu!;0;0.37
Jangan so jagoan kesorean dah lu!;0;0.54
Emang udah kodrat ilahi kayak gini.;0;0.83
Gua lagi nggak konsen pikiran nih.;0;0.16
Sempit banget kayak kandang ayam.;0;0.46
Udah nggak usah dibahas lagi kagak penting.;0;0.33
Bikin sebel nggak karuan dah gua.;0;0.72
Nggak worth it kayak beli kucing dalam karung.;0;0.22
Wah, top markotop dah pokoknya!;1;0.94
Bikin sakit kepala tujuh turunan!;0;0.76
Sat set wat wet dong gerak lu!;0;0.39
Jangan senga kayak anak baru gede!;0;0.58
Emang udah takdir dari sono kala ya.;0;0.86
Gua lagi nggak fokus kayak nonton sinetron.;0;0.19
Sukar amat kayak nyari kutu di kasur.;0;0.49
Udah nggak usah diungkit-ungkit lagi bikin sakit ati.;0;0.35
Bikin gemes pengen nyubit pipi!;0;0.75
Nggak ngefek kayak dikasih aer kobokan.;0;0.24
Wah, yahud bener dah ini mah!;1;0.98
Bikin mules perut kayak makan sambel setan!;0;0.78
Ogah ah males banget kayak disuruh nyuci piring segudang.;0;0.27
Jangan ngedumel kayak nenek-nenek kurang belaian!;0;0.62
Emang udah ketentuan dari Yang Maha Kuasa kayak gini.;0;0.89
Gua lagi nggak enak ati kayak abis dimarahin emak.;0;0.21
Berabe banget kayak ngurusin anak ayam ilang induknya.;0;0.43
Udah nggak usah diributin lagi bikin tambah runyam.;0;0.38
Bikin kesel banget pengen nonjok tembok!;0;0.79
Nggak mempan kayak diomongin sama tembok budeg.;0;0.23
Wah, zuper sekali dah pokoknya mah ini!;1;0.99
Bikin mual kayak nyium bau sampah seminggu!;0;0.81
Nggak sudi gua kayak disuruh makan jengkol mentah sebakul!;0;0.31
Jangan nyinyir kayak ibu-ibu arisan lagi ngerumpi!;0;0.65
Emang udah garis tangan kayak gini mau diapain lagi coba?;0;0.91
Gua lagi nggak sreg kayak pake baju kekecilan pas lebaran.;0;0.25
Repot amat kayak ngurusin proyek mangkrak seabad!;0;0.47
Udah nggak usah dipeduliin lagi bikin tambah sakit jiwa.;0;0.41
Bikin bete banget pengen gigit aspal!;0;0.83
Nggak nggeh kayak dikasih teka-teki silang bahasa alien!;0;0.28
Wah, ampun dah kerennya kebangetan!;1;0.97
Bikin eneg kayak minum jamu pahit segalon sendirian!;0;0.85
Nggak mau ah repot kayak disuruh mindahin gunung pake sendok teh!;0;0.33
Jangan ngomel kayak bapak-bapak lagi nagih utang ke warung kopi!;0;0.68
Emang udah ajalinya kayak gini mau protes juga percuma kali ya?;0;0.93
Gua lagi nggak nyaman kayak duduk di atas paku payung seratus biji!;0;0.32
Kacau banget kayak kapal pecah diterjang tsunami sepuluh meter!;0;0.51
Udah nggak usah diomongin lagi bikin tambah emosi jiwa raga!;0;0.45
Bikin sewot banget pengen ngejambak onta arab!;0;0.87
Nggak mudeng kayak dikasih soal matematika rumus fisika kimia biologi sekaligus!;0;0.36
Wah, daebak pisan euy ini mah asli!;1;0.98
Bikin pening kayak dengerin ceramah tujuh hari tujuh malem nggak berhenti!;0;0.89
Nggak ikut-ikutan ah kayak lagi ada razia narkoba mendadak!;0;0.34
Jangan nyindir kayak anak kecil lagi ngambek nggak dibeliin permen sebaskom!;0;0.71
Emang udah qadarnya kayak gini terima aja lah ya daripada ribut nggak jelas!;0;0.95
Gua lagi nggak fokus pikiran kayak lagi mikirin cicilan yang numpuk segunung!;0;0.48
Runyam banget kayak ngurusin sengketa tanah warisan tujuh turunan nggak kelar-kelar!;0;0.55
Udah nggak usah diinget-inget lagi bikin tambah trauma seumur idup!;0;0.52
Bikin emosi banget pengen nendang tiang listrik sampe roboh kayak pohon pisang!;0;0.91
Nggak ngerti-ngerti juga kayak dikasih peta buta arah mata anginnya ilang semua!;0;0.39
Wah, fantastic sekali dah ini mah nggak ada duanya!;1;0.99
Bikin sakit perut kayak makan cabe rawit sekilo sendirian tanpa minum setetes pun!;0;0.93
Nggak peduli gua kayak lagi nonton sinetron India adegan berantem nggak kelar-kelar!;0;0.42
Jangan ngegas kayak motor baru keluar dealer langsung digeber di jalanan macet kayak uler!;0;0.77
Emang udah suratan takdir kayak gini mau ngelawan juga percuma palingan juga tambah susah!;0;0.97
Gua lagi nggak enak badan kayak abis begadang semalem suntuk nontonin bola sampe subuh!;0;0.56
Ribet kayak benang kusut ditambahin bulu kucing rontok sama debu jalanan seabad nggak dibersihin!;0;0.61
Udah nggak usah dibesar-besarin lagi bikin tambah panjang urusannya kayak benang layangan putus!;0;0.59
Bikin naik darah banget pengen neriakin toa masjid sampe suaranya abis kayak kaset kusut!;0;0.94
Nggak ngeh blas kayak dikasih kode rahasia agen rahasia dari planet antah berantah nggak ada kamusnya!;0;0.46
Wah, georgeous bener dah kayak bidadari lagi turun dari kayangan pas lagi gerhana bulan total!;1;0.98
Bikin pegel linu kayak abis nyangkul sawah seharian tanpa istirahat minum aer putih setetes pun!;0;0.96
Nggak urusan gua kayak lagi nonton drama korea yang episodenya udah seratus lebih nggak kelar-kelar!;0;0.53
Jangan ngeles kayak belut dikasih garem langsung mencelat nggak ketangkep-tangkep kayak maling sendal!;0;0.81
Emang udah ketentuan Illahi kayak gini mau ngomel juga nggak bakal didengerin palingan juga tambah dosa!;0;0.99
Gua lagi nggak enak perasaan kayak lagi nungguin hasil ujian yang udah seminggu nggak keluar-keluar!;0;0.63
Sukar kayak nyari jarum di jerami ditambahin tumpukan sampah plastik sama daun-daun kering seRT!;0;0.67
Udah nggak usah diambil pusing lagi bikin tambah setres kayak mikirin utang bank yang bunganya udah kayak lintah!;0;0.65
Bikin panas ati banget pengen nyiram aer panas ke muka orang yang nyebelinnya udah kayak setan alas!;0;0.97
Nggak ngerti sama sekali kayak dikasih petunjuk pemasangan furniture IKEA yang gambarnya doang nggak ada tulisannya!;0;0.51
Wah, istimewa sekali dah ini mah kayak nemu berlian segede kepalan tangan di tengah jalanan becek!;1;0.99
Bikin nggak napsu makan kayak ngeliat makanan basi udah berjamur baunya udah kayak bangke tikus kejet-kejet!;0;0.98
Nggak minat blas kayak disuruh ikut kerja bakti pas lagi asik-asiknya maraton nonton anime kesukaan dari jaman SMP!;0;0.58
Jangan ngeremehin dah lu kayak anak kecil baru bisa naik sepeda roda tiga ngebut-ngebut di jalan tol kayak pembalap MotoGP!;0;0.85
Emang udah kehendak-Nya kayak gini mau protes juga nggak bakal ada gunanya palingan juga malah tambah ribet urusannya!;0;0.99
Gua lagi nggak bersemangat kayak abis kehujanan semalem suntuk terus paginya disuruh kerja rodi bangun jembatan gantung sendirian!;0;0.71
Serba salah dah ah kayak lagi milih antara dua pilihan yang sama-sama nggak enak kayak makan buah simalakama pahit di depan manis di belakang!;0;0.73
Udah nggak usah dipikirin dalem-dalem lagi bikin tambah depresi kayak mikirin masa depan yang suram kayak langit mendung mau hujan badai petir gledek!;0;0.75
Bikin sebel banget gua nih kayak ngeliat orang nyerobot antrian di depan mata padahal udah nungguin dari jaman dinosaurus belum punah!;0;0.99
Nggak ngerti-ngerti amat kayak dikasih instruksi bahasa kalbu yang cuma bisa dirasain pake hati tapi otaknya nggak nyampe-nyampe!;0;0.81
Wah, joss gandoss kotos-kotos dah ini mah kayak dapet jackpot lotre milyaran rupiah pas lagi tanggal tua bokek nggak punya duit sepeser pun!;1;0.99
Bikin lemes dah kayak abis lari maraton dari Bekasi sampe Monas terus disuruh balik lagi jalan kaki sambil gendong kulkas dua pintu isinya penuh es batu semua!;0;0.99
Nggak demen juga gua kayak disuruh makan pete jengkol mentah dicampur durian busuk terus minumnya kopi item tanpa gula ditambahin cabe rawit seratus biji!;0;0.99
Jangan ngeritik mulu dah lu kayak komentator bola lagi ngebacotin pemain yang udah berusaha sekuat tenaga tapi tetep aja kalah telak tujuh kosong tanpa balas!;0;0.99
Emang udah suratan alam kayak gini mau ngeluh juga nggak bakal ada yang peduli palingan juga cuma diketawain sama tetangga satu kampung kayak badut lagi nangis!;0;0.99
Gua lagi nggak ada gairah kayak abis diputusin pacar pas lagi sayang-sayangnya terus besoknya dia nikah sama sahabat sendiri tanpa ngasih kabar berita sama sekali!;0;0.99
Semrawut banget dah ah kayak benang layangan putus nyangkut di pohon mangga terus ketimpa sarang tawon gede isinya ratu tawon galak semua nggak ada yang berani ngambilin!;0;0.99
Udah nggak usah dibahas tuntas lagi bikin tambah panjang lebar kayak sinetron stripping yang episodenya udah ribuan tapi nggak tamat-tamat kayak utang negara nggak lunas-lunas!;0;0.99
Bikin gemes banget gua nih kayak ngeliat anak kecil lagi nangis guling-guling di mall nggak dibeliin mainan padahal udah dikasih pengertian baik-baik malah makin menjadi-jadi!;0;0.99
Nggak ngerti-ngerti pisan kayak dikasih tebak-tebakan bahasa planet pluto yang jawabannya harus pake telepati padahal otaknya lagi blank nggak bisa mikir apa-apa sama sekali!;0;0.99
Wah, kiyowo banget dah ini mah kayak anak kucing baru lahir matanya belom kebuka meong-meong lucu minta disayang-sayang nggak tega buat dianggurin sendirian!;1;0.99
Bikin ngantuk dah kayak dengerin pidato bapak-bapak pejabat lagi ngebacain visi misi yang isinya cuma itu-itu doang dari jaman orba sampe sekarang nggak ada perubahan signifikan sama sekali!;0;0.99
Nggak suka gua kayak disuruh nonton film horor tengah malem sendirian di rumah kosong bekas kuburan angker yang katanya banyak penampakan kuntilanak sama genderuwo lagi joget-joget dangdut koplo!;0;0.99
Jangan nyalahin orang mulu dah lu kayak wasit sepak bola lagi ngasih kartu merah ke pemain padahal dia nggak salah apa-apa cuma gara-gara kesel tim kesayangannya kalah telak tanpa ampun!;0;0.99
hari ini cerah bener;1;0.7136495
bangga bener gue punya anak kek lu tong;0;0.5029967
lu emang anak kebanggaan baba;0;0.34055418
mantap bener anak gue;1;0.5583324
halo apa kabar semuanya?;0;0.23685054
hari ini cerah banget ya;0;0.31332004
hari ini hepi bgt dah gua;0;0.16609275
salut bener sama lu gue;1;0.5720863
